ehsyear,dataset,ukda,general,interview,physical,modelled_physical,vacant,attitudes,firstimp_int,firstimp_phy,hhldtype,people,renter,rooms,owner,income,fire,disability,identity,interior,shared,around,shape,numflats,dwelling,adapthh,adaptpers,serial_number,h_weight,d_weight,region,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,satisfied_housing,satisfied_tenure
2022,household,UKDA-9317-spss,generalfs22_sl_protect.sav,interviewfs22_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh22,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4y,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2021,household,UKDA-9232-spss,generalfs21_sl_protect.sav,interviewfs21_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh21,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4y,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2020,household,UKDA-9077-spss,generalfs20_sl_protect.sav,interviewfs20_sl_protect.sav,,,,attitudes_sl_protect.sav,,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,adaptationshh_sl_protect.sav,adaptationspers_sl_protect.sav,serialanon,aagfh20,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2019,household,UKDA-8921-spss,generalfs_sl_protect.sav,interviewfs19_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,adaptationshh_sl_protect.sav,adaptationspers_sl_protect.sav,serialanon,aagfh19,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2018,household,UKDA-8719-spss,generalfs18_sl_protect.sav,interviewfs18_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh18,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2017,household,UKDA-8545-spss,generalfs17_sl_protected.sav,interviewfs17_sl_protected.sav,,,,attitudes_sl_protected.sav,firstimp_sl_protected.sav,,hhldtype_sl_protected.sav,people_sl_protected.sav,renter_sl_protected.sav,rooms_sl_protected.sav,owner_sl_protected.sav,income_sl_protected.sav,fire_sl_protected.sav,disability_sl_protected.sav,identity_sl_protected.sav,,,,,,dwelling_sl_protected.sav,,,serialanon,aagfh17,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2016,household,UKDA-8386-spss,generalfs16_sl_protect.sav,interviewfs16_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh16,,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2015,household,UKDA-8254-spss,generalfs15_sl_protect.sav,interviewfs15_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,,,serialanon,aagfh15,,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2014,household,UKDA-8067-spss,generalfs14_sl_protect.sav,interviewfs14_sl_protect.sav,,,,attitudes_sl_protect.sav,firstimp_sl_protect.sav,,hhldtype_sl_protect.sav,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,fire_sl_protect.sav,disability_sl_protect.sav,identity_sl_protect.sav,,,,,,dwelling_sl_protect.sav,adapt_hhld_sl_protect.sav,adapt_person_sl_protect.sav,aacode,aagfh14,,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2013,household,UKDA-7801-spss,generalfs13.sav,interviewfs13.sav,,,,attitudes.sav,firstimp.sav,,hhldtype.sav,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,fire.sav,disability.sav,identity.sav,,,,,,dwelling.sav,,,aacode,aagfh13,,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten
2012,household,UKDA-7512-spss,generalfs12.sav,interviewfs12.sav,,,,attitudes.sav,firstimp.sav,,hhldtype.sav,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,fire.sav,disability.sav,identity.sav,,,,,,dwelling.sav,,,aacode,aagfh12,,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten
2011,household,UKDA-7362-spss,generalfs11.sav,interviewfs11.sav,,,,attitudes.sav,firstimp.sav,,hhldtype.sav,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,fire.sav,disability.sav,identity.sav,,,,,,dwelling.sav,,,aacode,aagfh11,,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchil,hhsizex,famnumx,nounits1,hsatis,satten
2010,household,UKDA-7040-spss,generalfs10.sav,interviewfs10.sav,,,,attitudes.sav,firstimp.sav,,hhldtype.sav,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,fire.sav,disability.sav,identity.sav,,,,,,dwelling.sav,,,aacode,aagfh10,,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,NDEPCHILD,hhsizex,famnumx,NoUnits1,HSatis,Satten
2009,household,UKDA-6805-spss,generalfs09.sav,interviewfs09.sav,,,,attitudes.sav,firstimp.sav,,hhldtype.sav,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,fire.sav,disability.sav,identity.sav,,,,,,dwelling.sav,,,aacode,aagfh09,,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,NDEPCHILD,hhsizex,famnumx,NoUnits1,HSatis,Satten
2008,household,UKDA-6613-spss,generalfs08.sav,interviewfs08.sav,,,,attitudes.sav,firstimp.sav,,hhldtype.sav,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,fire.sav,disability.sav,identity.sav,,,,,,dwelling.sav,,,aacode,aagfh08,,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,NDEPCHILD,hhsizex,famnumx,NoUnits1,HSatis,satten
2022,stock,UKDA-9316-spss,general21_plus_22_sl_protect.sav,interview_21_plus_22_sl_protect.sav,physical_21_plus_22_sl_protect.sav,,vacant_2122_sl_protect.sav,attitudes_2122_sl_protect.sav,,firstimp_ps_sl_protect.sav,,people_2122_sl_protect.sav,renter_2122_sl_protect.sav,rooms_2122_sl_protect.sav,owner_2122_sl_protect.sav,income_2122_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph2122,aagpd2122,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4y,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2021,stock,UKDA-9231-spss,general20_plus_21_sl_protect.sav,interview_20_plus_21_sl_protect.sav,physical_20_plus_21_sl_protect.sav,,,attitudes_2021_sl_protect.sav,,firstimp_ps_sl_protect.sav,,people_2021_sl_protect.sav,renter_2021_sl_protect.sav,rooms_2021_sl_protect.sav,owner_2021_sl_protect.sav,income_2021_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph2021,aagpd2021,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4y,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2020,stock,UKDA-9076-spss,general19plus20_sl_protect.sav,interview_19plus20_sl_protect.sav,physical_19plus20_sl_protect.sav,modelled_housing_quality_variables_19plus20_sl_protect.sav,,attitudes_1920_sl_protect.sav,firstimp_1920_sl_protect.sav,,,people_1920_sl_protect.sav,renter_1920_sl_protect.sav,rooms_1920_sl_protect.sav,owner_1920_sl_protect.sav,income_1920_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph1920,aagpd1920,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2019,stock,UKDA-8922-spss,general18plus19_sl_protect.sav,interview_18plus19_sl_protect.sav,physical_18plus19_sl_protect.sav,,vacant_1819_sl_protect.sav,attitudes_1819_sl_protect.sav,firstimp_1819_sl_protect.sav,firstimp_ps_sl_protect.sav,,people_1819_sl_protect.sav,renter_1819_sl_protect.sav,rooms_1819_sl_protect.sav,owner_1819_sl_protect.sav,income_1819_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph1819,aagpd1819,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2018,stock,UKDA-8851-spss,general17plus18_sl_protect.sav,interview_17plus18_sl_protect.sav,physical_17plus18_sl_protect.sav,,vacant_1718_sl_protect.sav,attitudes_1718_sl_protect.sav,firstimp_1718_sl_protect.sav,firstimp_ps_sl_protect.sav,,people_1718_sl_protect.sav,renter_1718_sl_protect.sav,rooms_1718_sl_protect.sav,owner_1718_sl_protect.sav,income_1718_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph1718,aagpd1718,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2017,stock,UKDA-8546-spss,general16plus17_sl_protect.sav,interview_16plus17_sl_protect.sav,physical_16plus17_sl_protect.sav,,vacant_1617_sl_protect.sav,attitudes_1617_sl_protect.sav,firstimp_1617_sl_protect.sav,firstimp_ps_sl_protect.sav,,people_1617_sl_protect.sav,renter_1617_sl_protect.sav,rooms_1617_sl_protect.sav,owner_1617_sl_protect.sav,income_1617_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph1617,aagpd1617,gorehs,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2016,stock,UKDA-8387-spss,general15plus16_sl_protect.sav,interview_15plus16_sl_protect.sav,physical_15plus16_sl_protect.sav,,vacant_1516_sl_protect.sav,attitudes_1516_sl_protect.sav,firstimp_1516_sl_protect.sav,firstimp_ps_sl_protect.sav,,people_1516_sl_protect.sav,renter_1516_sl_protect.sav,rooms_1516_sl_protect.sav,owner_1516_sl_protect.sav,income_1516_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph1516,aagpd1516,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2015,stock,UKDA-8255-spss,general14plus15_sl_protect.sav,interview_14plus15_sl_protect.sav,physical_14plus15_sl_protect.sav,,vacant_1415_sl_protect.sav,attitudes_1415_sl_protect.sav,firstimp_1415_sl_protect.sav,firstimp_ps_sl_protect.sav,,people_1415_sl_protect.sav,renter_1415_sl_protect.sav,rooms_1415_sl_protect.sav,owner_1415_sl_protect.sav,income_1415_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,serialanon,aagph1415,aagpd1415,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2014,stock,UKDA-8068-spss,general_13plus14_sl_protect.sav,interview_13plus14_sl_protect.sav,physical_13plus14_sl_protect.sav,,vacant_sl_protect.sav,attitudes_sl_protect.sav,firstimp_sl_protect.sav,firstimp_ps_sl_protect.sav,,people_sl_protect.sav,renter_sl_protect.sav,rooms_sl_protect.sav,owner_sl_protect.sav,income_sl_protect.sav,,,,interior_sl_protect.sav,shared_sl_protect.sav,around_sl_protect.sav,shape_sl_protect.sav,numflats_sl_protect.sav,,,,aacode,aagph1314,aagpd1314,gorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,hhsizex,famnumx,noUnits1,HSatis,Satten2
2013,stock,UKDA-7802-spss,general_12and13.sav,interview_12and13.sav,physical_12and13.sav,,vacant.sav,attitudes.sav,firstimp_is.sav,firstimp_ps.sav,,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,,,,interior.sav,shared.sav,around.sav,shape.sav,numflats.sav,,,,aacode,aagph1213,aagpd1213,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,,,,,
2012,stock,UKDA-7511-spss,general_11plus12.sav,interview_11plus12.sav,physical_11plus12.sav,,vacant.sav,attitudes.sav,firstimp_is.sav,firstimp_ps.sav,,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,,,,interior.sav,shared.sav,around.sav,shape.sav,numflats.sav,,,,aacode,aagph1112,aagpd1112,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,ndepchild,,,,,
2011,stock,UKDA-7386-spss,general_10plus11.sav,interview_10plus11.sav,physical_10plus11.sav,,vacant.sav,attitudes.sav,firstimp.sav,firstimp_physical.sav,,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,,,,interior.sav,shared.sav,around.sav,shape.sav,numflats.sav,,,,aacode,aagph1011,aagpd1011,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,NDEPCHILD,,,,,
2010,stock,UKDA-7039-spss,general_09plus10.sav,interview_09plus10.sav,physical_09plus10.sav,,vacant.sav,attitudes.sav,firstimp.sav,firstimp_physical.sav,,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,,,,interior.sav,shared.sav,around.sav,shape.sav,numflats.sav,,,,aacode,aagph910,aagpd910,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,NDEPCHILD,,,,,
2009,stock,UKDA-6804-spss,general_08_09.sav,interview_08_09.sav,physical_08_09.sav,,vacant.sav,attitudes.sav,firstimp.sav,firstimp_physical.sav,,people.sav,renter.sav,rooms.sav,owner.sav,income.sav,,,,interior.sav,shared.sav,around.sav,shape.sav,numflats.sav,,,,aacode,aagph89,aagpd89,GorEHS,tenure8x,tenure4x,tenure4,ethhrp2x,ethhrp4x,agehrp4x,agehrp6x,NDEPCHILD,,,,,